3,1,15,
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-['R', None]-['C', None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]-[None, None]
